name,id,score,members,favorites,ratio
3-gatsu no Lion,31646,8.38,671176,15483,2.31
3-gatsu no Lion 2nd Season,35180,8.92,396638,15009,3.78
Aggressive Retsuko,32977,7.62,106562,647,0.61
Ai no Utagoe wo Kikasete,42847,7.72,94518,668,0.71
Ajin,31580,7.39,583330,3170,0.54
Akira (Shin Anime),56836,0,14978,33,0.22
Angel Beats!,6547,8.06,2054752,48336,2.35
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,8.3,1591273,32541,2.04
Another,11111,7.47,1648841,17461,1.06
Ansatsu Kyoushitsu,24833,8.08,1986846,29481,1.48
Aoi Bungaku Series,7193,7.68,219411,1627,0.74
Araburu Kisetsu no Otome-domo yo.,38753,7.32,334631,1581,0.47
Azumanga Daiou The Animation,66,8.01,351319,7168,2.04
Baki,34443,7.31,414843,2597,0.63
Banana Fish,36649,8.47,848259,29872,3.52
Beastars Final Season,49469,0,41445,83,0.2
Black Clover,34572,8.15,1631927,45818,2.81
Black Fox,37498,6.69,80494,145,0.18
Black★Rock Shooter (TV),11285,6.81,351362,2326,0.66
Bleach,269,7.93,1935347,72438,3.74
Blood Lad,11633,7.25,682933,2055,0.3
Blood-C,10490,6.53,365396,1168,0.32
Blood: The Last Vampire,405,6.87,110472,257,0.23
Blue Period,46352,7.81,453913,5936,1.31
BNA,40060,7.35,361712,2612,0.72
Bocchi the Rock! Movie,55357,0,46438,310,0.67
Bokura no,1690,7.61,190084,1194,0.63
Boruto: Naruto Next Generations,34566,6.03,853915,7263,0.85
Btooom!,14345,7.28,851258,3417,0.4
Bubble,50549,7.24,203175,1472,0.72
Bungou Stray Dogs,31478,7.82,1369641,26923,1.97
Byousoku 5 Centimeter,1689,7.57,933744,11008,1.18
Chainsaw Man Movie: Reze-hen,57555,0,42536,173,0.41
Chuunibyou demo Koi ga Shitai!,14741,7.7,1340882,17801,1.33
Citrus,34382,6.44,511160,3864,0.76
Clannad,2167,7.99,1401815,27587,1.97
Clannad: After Story,4181,8.93,1179783,69891,5.92
Claymore,1818,7.74,666540,8458,1.27
D.Gray-man,1482,8.01,687089,13820,2.01
Dandadan,57334,0,27854,228,0.82
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,16592,7.2,931911,8331,0.89
Dead Dead Demons Dededede Destruction,51358,0,18057,34,0.19
Dorohedoro,38668,8.05,536608,8662,1.61
Dororo,37520,8.25,1201775,20506,1.71
Doukyuusei (Movie),30346,8.29,265747,6096,2.29
Dragon Ball GT,225,6.49,623754,2048,0.33
Dungeon Meshi,52701,7.71,127854,476,0.37
Durarara!!,6746,8.1,1394148,30062,2.16
Enen no Shouboutai,38671,7.71,1312489,9345,0.71
Ergo Proxy,790,7.9,641328,13526,2.11
Eromanga-sensei,32901,6.34,713502,2752,0.39
Euphoria,10851,5.85,82144,747,0.91
Fate/Apocrypha,34662,7.19,473285,2567,0.54
Fate/stay night Movie: Heaven's Feel - III. Spring Song,33050,8.67,343782,7981,2.32
Flip Flappers,32979,7.63,188786,2143,1.14
Fumetsu no Anata e,41025,8.35,853182,14173,1.66
Gake no Ue no Ponyo,2890,7.93,570667,4113,0.72
Gakkougurashi!,24765,7.62,447853,5447,1.22
Gensou Mangekyou: The Memories of Phantasm,55315,7.93,5573,146,2.62
Gintama°,28977,9.06,620795,16478,2.65
Goblin Slayer II,47160,7.25,313549,3062,0.98
God Eater,27631,7.19,542073,1944,0.36
Golden Boy,268,8.04,393065,5892,1.5
Golden Time,17895,7.74,1026205,13187,1.29
Grappler Baki (TV),287,7.46,142505,843,0.59
Great Teacher Onizuka,245,8.69,815324,26137,3.21
Guilty Crown,10793,7.41,1204596,17013,1.41
Gun x Sword,411,7.26,77707,364,0.47
Haibane Renmei,387,7.97,283491,7676,2.71
Hanma Baki: Son of Ogre,42940,7.66,152425,633,0.42
Hifuu Katsudou Kiroku: The Sealed Esoteric History,36686,7.29,8083,47,0.58
High School DxD,11617,7.33,1411292,22464,1.59
Highschool of the Dead,8074,7.07,1492787,10209,0.68
Higurashi no Naku Koro ni,934,7.88,798483,21257,2.66
Higurashi no Naku Koro ni Kai,1889,8.17,476064,7405,1.56
Hitoribocchi no Marumaru Seikatsu,37614,7.48,216628,1236,0.57
Holo no Graffiti,44042,8.19,54309,1880,3.46
Isekai Suicide Squad,55848,0,26950,166,0.62
Jibaku Shounen Hanako-kun,39534,7.84,583478,11772,2.02
Jigokuraku,46569,8.12,631221,7143,1.13
Juubee Ninpuuchou,617,7.61,139467,1162,0.83
K-On!,5680,7.86,1041272,23895,2.29
Kage no Jitsuryokusha ni Naritakute!,48316,8.3,601467,13927,2.32
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,40591,8.63,1317445,18793,1.43
Kakegurui,34933,7.24,1463957,10870,0.74
Kami no Tou,40221,7.55,907304,6386,0.7
Kanata no Astra,39198,8.08,298224,3166,1.06
Kara no Kyoukai Movie 1: Fukan Fuukei,2593,7.57,422849,2420,0.57
Kara no Kyoukai Movie 5: Mujun Rasen,4282,8.52,236707,4578,1.93
Karakai Jouzu no Takagi-san,35860,7.69,584102,5234,0.9
Katanagatari,6594,8.31,557446,10915,1.96
Katsute Kami Datta Kemono-tachi e,39199,6.4,133486,220,0.16
Kekkai Sensen,24439,7.6,865590,7796,0.9
Kemono Friends,33089,7.54,81273,1130,1.39
Kemurikusa (TV),37302,7.11,31178,168,0.54
Kidou Senshi Gundam: Suisei no Majo,49828,7.88,147820,1449,0.98
Kimetsu no Yaiba: Hashira Geiko-hen,55701,0,166365,1133,0.68
Kimetsu no Yaiba: Katanakaji no Sato-hen,51019,8.27,761110,9441,1.24
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,54714,7.88,176726,1857,1.05
Kimitachi wa Dou Ikiru ka,36699,7.54,57953,251,0.43
Kizumonogatari: Koyomi Vamp,56609,7.15,15022,60,0.4
Kodomo no Jikan (TV),2403,6.7,111208,559,0.5
Kokoro ga Sakebitagatterunda.,28725,7.81,328441,1936,0.59
Kono Subarashii Sekai ni Bakuen wo!,51958,7.48,297893,1671,0.56
Kono Subarashii Sekai ni Shukufuku wo! 3,49458,0,230344,2845,1.24
Kotonoha no Niwa,16782,7.88,853590,7018,0.82
Koukaku Kidoutai: Stand Alone Complex,467,8.42,393732,8560,2.17
Koukyoushihen Eureka Seven,237,8.05,433134,9107,2.1
Kuroshitsuji,4898,7.66,1167906,22550,1.93
Kusuriya no Hitorigoto,54492,8.81,255706,4182,1.64
Kyousou Giga (TV),19703,7.7,189549,1981,1.05
Little Witch Academia,14349,7.8,310024,1333,0.43
Little Witch Academia (TV),33489,7.81,637404,7565,1.19
Love Live! School Idol Project,15051,7.41,444867,8075,1.82
Lucky☆Star,1887,7.74,644801,12199,1.89
Made in Abyss: Retsujitsu no Ougonkyou (Zoku-hen),54250,0,29669,60,0.2
Magi: The Kingdom of Magic,18115,8.21,834216,7664,0.92
Magi: The Labyrinth of Magic,14513,8.01,1033268,9211,0.89
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,38256,6.8,158499,848,0.54
Mahou Shoujo Ikusei Keikaku,33003,6.96,159463,775,0.49
Mahou Shoujo Madoka★Magica Movie 4: Walpurgis no Kaiten,48820,0,60417,314,0.52
Mahou Shoujo ni Akogarete,54722,7.61,70350,442,0.63
Maoyuu Maou Yuusha,14833,7.24,480733,1464,0.3
Monogatari Series: Off & Monster Season,57864,0,19841,138,0.7
Mononoke,2246,8.42,322622,8186,2.54
Monster,19,8.88,1087925,51310,4.72
Monster Musume no Iru Nichijou,30307,6.95,742844,3949,0.53
Mushishi,457,8.66,819212,26633,3.25
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,55888,0,125188,520,0.42
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,50360,7.84,165672,543,0.33
Nana,877,8.55,652425,29072,4.46
Naruto (Shinsaku Anime),54688,0,27909,207,0.74
Natsume Yuujinchou,4081,8.31,534250,15649,2.93
Nazo no Kanojo X,12467,7.23,313728,3167,1.01
NieR:Automata Ver1.1a,51105,7.51,266703,2036,0.76
Odd Taxi,46102,8.67,419791,8066,1.92
One Punch Man 2nd Season,34134,7.51,1661380,6502,0.39
One Punch Man 3,52807,0,187377,2755,1.47
Oniichan wa Oshimai!,51678,7.68,139402,1934,1.39
Onimusha,53150,6.56,10358,33,0.32
Orange,32729,7.62,816380,6898,0.84
Ore dake Level Up na Ken,52299,8.46,398398,6617,1.66
Ousama Ranking,40834,8.52,624028,12482,2.0
Overflow,40746,7.24,141316,1337,0.95
Owari no Seraph,26243,7.49,1318200,13713,1.04
Panty & Stocking with Garterbelt,8795,7.73,390288,5920,1.52
Plastic Memories,27775,7.91,932948,11845,1.27
Pluto,35737,8.55,124487,1565,1.26
Poputepipikku,35330,7.28,221605,1386,0.63
Psycho-Pass,13601,8.34,1615124,38664,2.39
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,39587,8.33,1087370,11527,1.06
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,42203,8.44,866824,12324,1.42
ReLIFE,30015,7.97,1024137,9972,0.97
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),50613,7.62,108124,676,0.63
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,401,7.97,83847,374,0.45
RWBY: Hyousetsu Teikoku,51381,6.35,104222,632,0.61
Saiki Kusuo no Ψ-nan,33255,8.41,1083709,29052,2.68
Saishuu Heiki Kanojo,529,7.14,96885,583,0.6
Sakamoto desu ga?,32542,7.55,762184,2666,0.35
Sayonara Zetsubou Sensei,2605,7.86,342974,4687,1.37
School Rumble,24,7.89,325954,5204,1.6
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,54870,7.98,66091,224,0.34
Sennen Joyuu,1033,8.25,184365,2611,1.42
Shigatsu wa Kimi no Uso,23273,8.64,2180218,85030,3.9
Shigurui,2216,7.37,122736,914,0.74
Shikabane Hime: Aka,4581,7.19,122777,241,0.2
Shinsekai yori,13125,8.27,771916,22013,2.85
Shirobako,25835,8.28,441769,6257,1.42
Shironeko Project: Zero Chronicle,38843,5.38,95533,205,0.21
Shoujo Kakumei Utena,440,8.21,216758,8364,3.86
Shuumatsu no Izetta,33433,6.75,176709,353,0.2
Sirius,37569,6.97,246100,685,0.28
Sousou no Frieren,52991,9.13,497164,15766,3.17
SSSS.Gridman,35847,7.12,294413,1394,0.47
Suki na Ko ga Megane wo Wasureta,54234,7.14,175790,1311,0.75
Suzume no Tojimari,50594,8.33,316698,4182,1.32
Takt Op. Destiny,48556,7.15,500735,4595,0.92
Tate no Yuusha no Nariagari,35790,7.96,1564184,25400,1.62
Tengoku Daimakyou,53393,8.21,431504,4804,1.11
Toaru Kagaku no Railgun,6213,7.66,603430,5941,0.98
Tonari no Totoro,523,8.25,1048640,8436,0.8
Top wo Nerae! Gunbuster,949,7.87,126109,2754,2.18
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,9874,7.36,39838,329,0.83
Trigun,6,8.22,752946,15761,2.09
Trigun Stampede,52093,7.84,169418,1955,1.15
Trigun: Badlands Rumble,4106,7.91,141638,273,0.19
Trinity Blood,27,7.29,183456,1331,0.73
Uzumaki,40333,0,111709,451,0.4
Val x Love,39799,5.9,97018,168,0.17
Vivy: Fluorite Eye's Song,46095,8.4,526926,10569,2.01
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,16742,6.99,647358,5589,0.86
xxxHOLiC,861,7.98,318304,4531,1.42
Yarichin☆Bitch-bu,37585,6.12,104137,843,0.81
Youjo Senki,32615,7.96,905080,12237,1.35
Yuri!!! on Ice,32995,7.9,875846,20578,2.35
Zetsuen no Tempest,14075,7.9,593382,6574,1.11
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,54112,7.91,470099,3589,0.76
