name,id,score,members,favorites,ratio
Blame!,149,8.3,149414,8372,5.6
Chainsaw Man,116778,8.73,601462,80614,13.4
Claymore,583,8.29,196943,13386,6.8
D.Gray-man,24,8.28,156816,12498,7.97
Dandadan,135496,8.29,123065,5224,4.24
Dorohedoro,1133,8.68,170899,13129,7.68
Fire Punch,98270,7.9,173852,7587,4.36
Gantz,564,8.1,230636,18202,7.89
Golden Kamuy,85968,8.64,90146,5214,5.78
Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,4453,8.27,6837,212,3.1
Homunculus,936,8.35,131155,6882,5.25
Houseki no Kuni,44489,8.96,126372,13939,11.03
Innocent,58563,8.2,56130,1846,3.29
Kokou no Hito,7375,8.75,100992,5686,5.63
Mikkakan no Koufuku,126479,8.9,28039,1203,4.29
Planetes,481,8.27,53549,1783,3.33
Pumpkin Night,111403,6.43,40358,961,2.38
The Horizon,125036,8.67,85296,4410,5.17
Trigun Maximum,704,8.26,28113,1507,5.36
Vagabond,656,9.25,372025,40925,11.0
