name,id,score,members,favorites,ratio
3-gatsu no Lion,31646,8.38,667577,15419,2.31
3-gatsu no Lion 2nd Season,35180,8.93,394101,14970,3.8
Ai no Utagoe wo Kikasete,42847,7.73,93187,667,0.72
Ajin,31580,7.39,580557,3162,0.54
Angel Beats!,6547,8.06,2045570,48228,2.36
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,8.3,1583546,32451,2.05
Another,11111,7.47,1640018,17387,1.06
Ansatsu Kyoushitsu,24833,8.08,1971370,29364,1.49
Aoi Bungaku Series,7193,7.68,218588,1633,0.75
Araburu Kisetsu no Otome-domo yo.,38753,7.33,332329,1577,0.47
Azumanga Daiou The Animation,66,8.01,346759,6995,2.02
Baki,34443,7.31,409979,2577,0.63
Banana Fish,36649,8.48,840783,29706,3.53
Black Clover,34572,8.15,1615621,45495,2.82
Black Fox,37498,6.69,80185,143,0.18
Black★Rock Shooter (TV),11285,6.81,350297,2313,0.66
Bleach,269,7.93,1920051,71913,3.75
Blood Lad,11633,7.25,679964,2049,0.3
Blood-C,10490,6.53,363079,1157,0.32
Blood: The Last Vampire,405,6.87,109849,254,0.23
BNA,40060,7.35,358676,2590,0.72
Bocchi the Rock! Movie,55357,0,43741,300,0.69
Bokura no,1690,7.61,189407,1192,0.63
Boruto: Naruto Next Generations,34566,6.04,848760,7243,0.85
Btooom!,14345,7.28,847663,3410,0.4
Bungou Stray Dogs,31478,7.82,1356736,26697,1.97
Byousoku 5 Centimeter,1689,7.57,928867,10968,1.18
Chainsaw Man Movie: Reze-hen,57555,0,7919,41,0.52
Chuunibyou demo Koi ga Shitai!,14741,7.7,1333580,17743,1.33
Citrus,34382,6.45,508103,3840,0.76
Clannad,2167,7.99,1395761,27506,1.97
Clannad: After Story,4181,8.93,1173456,69710,5.94
Claymore,1818,7.74,663299,8418,1.27
D.Gray-man,1482,8.01,684416,13787,2.01
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,16592,7.21,927087,8311,0.9
Dorohedoro,38668,8.05,529519,8518,1.61
Dororo,37520,8.25,1190809,20356,1.71
Dragon Ball GT,225,6.49,620170,2029,0.33
Durarara!!,6746,8.1,1387327,30029,2.16
Enen no Shouboutai,38671,7.71,1299597,9278,0.71
Ergo Proxy,790,7.9,637173,13419,2.11
Eromanga-sensei,32901,6.35,709763,2742,0.39
Euphoria,10851,5.85,81704,743,0.91
Fate/Apocrypha,34662,7.19,470528,2548,0.54
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,33049,8.49,378914,3433,0.91
Flip Flappers,32979,7.63,187991,2137,1.14
Fumetsu no Anata e,41025,8.35,844834,14093,1.67
Gakkougurashi!,24765,7.62,445701,5434,1.22
Gintama°,28977,9.06,616067,16413,2.66
Goblin Slayer II,47160,7.42,284742,2900,1.02
God Eater,27631,7.2,540121,1946,0.36
Golden Time,17895,7.74,1018568,13094,1.29
Grappler Baki (TV),287,7.46,140834,833,0.59
Great Teacher Onizuka,245,8.69,809913,25998,3.21
Guilty Crown,10793,7.41,1199855,16963,1.41
Gun x Sword,411,7.26,77347,358,0.46
Haibane Renmei,387,7.97,281262,7604,2.7
Hanma Baki: Son of Ogre,42940,7.66,148540,623,0.42
Higurashi no Naku Koro ni,934,7.88,795135,21216,2.67
Higurashi no Naku Koro ni Kai,1889,8.17,474012,7386,1.56
Hitoribocchi no Marumaru Seikatsu,37614,7.48,215383,1239,0.58
Holo no Graffiti,44042,8.2,53845,1869,3.47
Houseki no Kuni,35557,8.39,449568,13169,2.93
Jibaku Shounen Hanako-kun,39534,7.84,578067,11723,2.03
Jujutsu Kaisen 2nd Season,51009,8.91,707389,13750,1.94
Juubee Ninpuuchou,617,7.61,138243,1141,0.83
K-On!,5680,7.86,1035834,23780,2.3
Kage no Jitsuryokusha ni Naritakute!,48316,8.3,575602,13091,2.27
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,40591,8.64,1304931,18790,1.44
Kami no Tou,40221,7.55,899128,6353,0.71
Kanata no Astra,39198,8.08,296349,3156,1.06
Kara no Kyoukai Movie 1: Fukan Fuukei,2593,7.57,420740,2399,0.57
Kara no Kyoukai Movie 5: Mujun Rasen,4282,8.52,235593,4568,1.94
Karakai Jouzu no Takagi-san,35860,7.69,580476,5191,0.89
Katanagatari,6594,8.31,554949,10886,1.96
Katsute Kami Datta Kemono-tachi e,39199,6.4,132710,219,0.17
Kekkai Sensen,24439,7.6,860906,7752,0.9
Kemono Friends,33089,7.54,80860,1127,1.39
Kemurikusa (TV),37302,7.1,30932,167,0.54
Kidou Senshi Gundam: Suisei no Majo,49828,7.88,143919,1403,0.97
Kimetsu no Yaiba: Katanakaji no Sato-hen,51019,8.29,732830,9334,1.27
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,54714,7.78,133773,1248,0.93
Kimitachi wa Dou Ikiru ka,36699,7.48,34368,131,0.38
Kodomo no Jikan (TV),2403,6.7,110850,551,0.5
Kokoro ga Sakebitagatterunda.,28725,7.82,326725,1933,0.59
Kono Subarashii Sekai ni Bakuen wo!,51958,7.49,290152,1636,0.56
Kotonoha no Niwa,16782,7.88,848116,6982,0.82
Koukaku Kidoutai: Stand Alone Complex,467,8.42,391990,8529,2.18
Koukyoushihen Eureka Seven,237,8.05,431850,9091,2.11
Kuroshitsuji,4898,7.66,1161561,22488,1.94
Kusuriya no Hitorigoto,54492,8.75,176095,2165,1.23
Kyousou Giga (TV),19703,7.7,188710,1982,1.05
Little Witch Academia,14349,7.8,308931,1327,0.43
Little Witch Academia (TV),33489,7.81,633103,7543,1.19
Love Live! School Idol Project,15051,7.41,443153,8056,1.82
Lucky☆Star,1887,7.74,641867,12118,1.89
Magi: The Kingdom of Magic,18115,8.21,830221,7652,0.92
Magi: The Labyrinth of Magic,14513,8.01,1027909,9196,0.89
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,38256,6.8,157373,846,0.54
Mahou Shoujo Ikusei Keikaku,33003,6.96,158589,765,0.48
Mahou Shoujo Madoka★Magica Movie 4: Walpurgis no Kaiten,48820,0,58936,300,0.51
Maoyuu Maou Yuusha,14833,7.24,477916,1457,0.3
Mob Psycho 100 III,50172,8.71,630322,9589,1.52
Mononoke,2246,8.42,320297,8107,2.53
Monster,19,8.88,1072765,50570,4.71
Monster Musume no Iru Nichijou,30307,6.96,738900,3947,0.53
Mushishi,457,8.66,813801,26470,3.25
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,50360,7.85,161551,540,0.33
Nana,877,8.54,645091,28705,4.45
Natsume Yuujinchou,4081,8.31,531562,15569,2.93
Nazo no Kanojo X,12467,7.24,311290,3143,1.01
NieR:Automata Ver1.1a,51105,7.53,261386,2005,0.77
Odd Taxi,46102,8.68,413863,7989,1.93
One Punch Man 2nd Season,34134,7.51,1645707,6461,0.39
Oniichan wa Oshimai!,51678,7.68,134814,1860,1.38
Onimusha,53150,6.56,9069,30,0.33
Orange,32729,7.62,811199,6853,0.84
Overflow,40746,7.24,140005,1322,0.94
Owari no Seraph,26243,7.49,1309816,13660,1.04
Panty & Stocking with Garterbelt,8795,7.73,387437,5857,1.51
Plastic Memories,27775,7.91,927381,11795,1.27
Pluto,35737,8.61,102529,1249,1.22
Poputepipikku,35330,7.28,220699,1378,0.62
Psycho-Pass,13601,8.34,1606103,38482,2.4
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,39587,8.34,1077969,11507,1.07
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,42203,8.44,856760,12254,1.43
ReLIFE,30015,7.97,1017328,9934,0.98
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),50613,7.66,102466,637,0.62
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,401,7.97,83506,375,0.45
RWBY: Hyousetsu Teikoku,51381,6.35,103027,627,0.61
Ryuu to Sobakasu no Hime,44807,7.5,155522,1584,1.02
Saiki Kusuo no Ψ-nan,33255,8.41,1074129,28794,2.68
Saishuu Heiki Kanojo,529,7.14,96416,577,0.6
Sakamoto desu ga?,32542,7.55,757728,2642,0.35
Sayonara Zetsubou Sensei,2605,7.86,341511,4675,1.37
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,53129,7.82,92610,448,0.48
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,54870,7.64,59947,193,0.32
Sennen Joyuu,1033,8.25,182698,2595,1.42
Shigatsu wa Kimi no Uso,23273,8.65,2165905,84797,3.92
Shigurui,2216,7.37,122011,912,0.75
Shikabane Hime: Aka,4581,7.19,122396,240,0.2
Shinsekai yori,13125,8.27,769059,21973,2.86
Shirobako,25835,8.28,439949,6254,1.42
Shironeko Project: Zero Chronicle,38843,5.38,94181,203,0.22
Shoujo Kakumei Utena,440,8.21,214883,8276,3.85
Shuumatsu no Izetta,33433,6.75,175788,353,0.2
Sirius,37569,6.97,244838,683,0.28
Sousou no Frieren,52991,9.14,378390,9952,2.63
Suki na Ko ga Megane wo Wasureta,54234,7.14,169516,1270,0.75
Suzume no Tojimari,50594,8.34,299630,4029,1.34
Tate no Yuusha no Nariagari,35790,7.97,1550128,25439,1.64
Tengoku Daimakyou,53393,8.22,410218,4489,1.09
Toaru Kagaku no Railgun,6213,7.66,600686,5929,0.99
Top wo Nerae! Gunbuster,949,7.87,125095,2728,2.18
Trigun,6,8.22,747631,15637,2.09
Trigun Stampede,52093,7.84,164070,1889,1.15
Trigun: Badlands Rumble,4106,7.91,140798,267,0.19
Trinity Blood,27,7.29,182645,1321,0.72
Val x Love,39799,5.9,96412,168,0.17
Vivy: Fluorite Eye's Song,46095,8.4,521443,10500,2.01
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,16742,6.99,643902,5540,0.86
xxxHOLiC,861,7.98,316341,4495,1.42
Yarichin☆Bitch-bu,37585,6.13,103343,836,0.81
Youjo Senki,32615,7.96,897491,12153,1.35
Yuri!!! on Ice,32995,7.9,870301,20505,2.36
Zetsuen no Tempest,14075,7.91,591233,6568,1.11
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,54112,8.0,423973,3166,0.75
