0 	| 43741  	| 300   	| 0.69%	| Bocchi the Rock! Movie
0 	| 7919  	| 41   	| 0.52%	| Chainsaw Man Movie: Reze-hen
0 	| 58936  	| 300   	| 0.51%	| Mahou Shoujo Madoka★Magica Movie 4: Walpurgis no Kaiten
5.38 	| 94181  	| 203   	| 0.22%	| Shironeko Project: Zero Chronicle
5.85 	| 81704  	| 743   	| 0.91%	| Euphoria
5.9 	| 96412  	| 168   	| 0.17%	| Val x Love
6.04 	| 848760  	| 7243   	| 0.85%	| Boruto: Naruto Next Generations
6.13 	| 103343  	| 836   	| 0.81%	| Yarichin☆Bitch-bu
6.35 	| 709763  	| 2742   	| 0.39%	| Eromanga-sensei
6.35 	| 103027  	| 627   	| 0.61%	| RWBY: Hyousetsu Teikoku
6.4 	| 132710  	| 219   	| 0.17%	| Katsute Kami Datta Kemono-tachi e
6.45 	| 508103  	| 3840   	| 0.76%	| Citrus
6.49 	| 620170  	| 2029   	| 0.33%	| Dragon Ball GT
6.53 	| 363079  	| 1157   	| 0.32%	| Blood-C
6.56 	| 9069  	| 30   	| 0.33%	| Onimusha
6.69 	| 80185  	| 143   	| 0.18%	| Black Fox
6.7 	| 110850  	| 551   	| 0.5%	| Kodomo no Jikan (TV)
6.75 	| 175788  	| 353   	| 0.2%	| Shuumatsu no Izetta
6.8 	| 157373  	| 846   	| 0.54%	| Magia Record: Mahou Shoujo Madoka☆Magica Gaiden
6.81 	| 350297  	| 2313   	| 0.66%	| Black★Rock Shooter (TV)
6.87 	| 109849  	| 254   	| 0.23%	| Blood: The Last Vampire
6.96 	| 158589  	| 765   	| 0.48%	| Mahou Shoujo Ikusei Keikaku
6.96 	| 738900  	| 3947   	| 0.53%	| Monster Musume no Iru Nichijou
6.97 	| 244838  	| 683   	| 0.28%	| Sirius
6.99 	| 643902  	| 5540   	| 0.86%	| Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
7.1 	| 30932  	| 167   	| 0.54%	| Kemurikusa (TV)
7.14 	| 96416  	| 577   	| 0.6%	| Saishuu Heiki Kanojo
7.14 	| 169516  	| 1270   	| 0.75%	| Suki na Ko ga Megane wo Wasureta
7.19 	| 470528  	| 2548   	| 0.54%	| Fate/Apocrypha
7.19 	| 122396  	| 240   	| 0.2%	| Shikabane Hime: Aka
7.2 	| 540121  	| 1946   	| 0.36%	| God Eater
7.21 	| 927087  	| 8311   	| 0.9%	| Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
7.24 	| 477916  	| 1457   	| 0.3%	| Maoyuu Maou Yuusha
7.24 	| 311290  	| 3143   	| 1.01%	| Nazo no Kanojo X
7.24 	| 140005  	| 1322   	| 0.94%	| Overflow
7.25 	| 679964  	| 2049   	| 0.3%	| Blood Lad
7.26 	| 77347  	| 358   	| 0.46%	| Gun x Sword
7.28 	| 847663  	| 3410   	| 0.4%	| Btooom!
7.28 	| 220699  	| 1378   	| 0.62%	| Poputepipikku
7.29 	| 182645  	| 1321   	| 0.72%	| Trinity Blood
7.31 	| 409979  	| 2577   	| 0.63%	| Baki
7.33 	| 332329  	| 1577   	| 0.47%	| Araburu Kisetsu no Otome-domo yo.
7.35 	| 358676  	| 2590   	| 0.72%	| BNA
7.37 	| 122011  	| 912   	| 0.75%	| Shigurui
7.39 	| 580557  	| 3162   	| 0.54%	| Ajin
7.41 	| 1199855  	| 16963   	| 1.41%	| Guilty Crown
7.41 	| 443153  	| 8056   	| 1.82%	| Love Live! School Idol Project
7.42 	| 284742  	| 2900   	| 1.02%	| Goblin Slayer II
7.46 	| 140834  	| 833   	| 0.59%	| Grappler Baki (TV)
7.47 	| 1640018  	| 17387   	| 1.06%	| Another
7.48 	| 215383  	| 1239   	| 0.58%	| Hitoribocchi no Marumaru Seikatsu
7.48 	| 34368  	| 131   	| 0.38%	| Kimitachi wa Dou Ikiru ka
7.49 	| 290152  	| 1636   	| 0.56%	| Kono Subarashii Sekai ni Bakuen wo!
7.49 	| 1309816  	| 13660   	| 1.04%	| Owari no Seraph
7.5 	| 155522  	| 1584   	| 1.02%	| Ryuu to Sobakasu no Hime
7.51 	| 1645707  	| 6461   	| 0.39%	| One Punch Man 2nd Season
7.53 	| 261386  	| 2005   	| 0.77%	| NieR:Automata Ver1.1a
7.54 	| 80860  	| 1127   	| 1.39%	| Kemono Friends
7.55 	| 899128  	| 6353   	| 0.71%	| Kami no Tou
7.55 	| 757728  	| 2642   	| 0.35%	| Sakamoto desu ga?
7.57 	| 928867  	| 10968   	| 1.18%	| Byousoku 5 Centimeter
