6.38 	| 44765  	| 1026    	| 2.29%	| Pumpkin Night
6.75 	| 41550  	| 692    	| 1.67%	| Mahou Shoujo of the End
7.06 	| 2441  	| 4    	| 0.16%	| Kore wa Yuganda Shokurepo desu
7.10 	| 28275  	| 481    	| 1.70%	| Okaeri Alice
7.12 	| 21043  	| 119    	| 0.57%	| 17-21: Fujimoto Tatsuki Tanpenshuu
7.19 	| 88927  	| 2152    	| 2.42%	| Umibe no Onnanoko
7.25 	| 3815  	| 48    	| 1.26%	| Evangelion: ANIMA
7.30 	| 27177  	| 167    	| 0.61%	| 22-26: Fujimoto Tatsuki Tanpenshuu
7.32 	| 3367  	| 26    	| 0.77%	| Shuumatsu Touring
7.43 	| 1688  	| 8    	| 0.47%	| Suizou ga Kowaretara, Sukoshi Ikiyasuku Narimashita.
7.49 	| 3859  	| 24    	| 0.62%	| Meisou Senshi Nagata Kabi
7.55 	| 5057  	| 63    	| 1.25%	| Niku wo Hagu: Tooda Oto Tanpenshuu
7.61 	| 25319  	| 778    	| 3.07%	| Murciélago
7.70 	| 7330  	| 57    	| 0.78%	| Genjitsu Touhi shitetara Boroboro ni Natta Hanashi
7.70 	| 16148  	| 161    	| 1.00%	| Madan no Ichi
7.71 	| 36498  	| 1032    	| 2.83%	| My Broken Mariko
7.72 	| 41613  	| 903    	| 2.17%	| Trigun
7.89 	| 20009  	| 523    	| 2.61%	| Asper Kanojo
7.89 	| 117915  	| 3693    	| 3.13%	| Sun-Ken Rock
7.92 	| 201921  	| 8942    	| 4.43%	| Fire Punch
7.99 	| 5719  	| 77    	| 1.35%	| Steins;Gate: Onshuu no Brownian Motion
8.00 	| 146013  	| 4580    	| 3.14%	| Ajin
8.04 	| 57102  	| 3036    	| 5.32%	| Gakkougurashi!
8.09 	| 246967  	| 18723    	| 7.58%	| Gantz
8.09 	| 48669  	| 1281    	| 2.63%	| Super no Ura de Yani Suu Futari
8.12 	| 18811  	| 307    	| 1.63%	| Hitori Koukan Nikki
8.12 	| 54937  	| 2838    	| 5.17%	| Sabishisugite Lesbian Fuuzoku ni Ikimashita Report
8.17 	| 102624  	| 4792    	| 4.67%	| Yofukashi no Uta
8.18 	| 2421  	| 118    	| 4.87%	| I Love Amy
8.19 	| 8076  	| 223    	| 2.76%	| Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa
8.19 	| 65171  	| 2142    	| 3.29%	| Innocent
8.20 	| 171717  	| 12786    	| 7.45%	| Aku no Hana
8.20 	| 82107  	| 2538    	| 3.09%	| Dead Dead Demons Dededede Destruction
8.20 	| 202975  	| 10223    	| 5.04%	| Dr. Stone
8.21 	| 127082  	| 5712    	| 4.49%	| Solanin
