name,id,score,members,favorites,ratio
3-gatsu no Lion,31646,8.37,697189,15892,2.28
3-gatsu no Lion 2nd Season,35180,8.91,413637,15209,3.68
Aachi wa Ssipak,2884,6.55,10724,32,0.3
Aggressive Retsuko,32977,7.62,110061,675,0.61
Ai no Utagoe wo Kikasete,42847,7.7,109198,733,0.67
Ajin,31580,7.38,601979,3235,0.54
Akira (Shin Anime),56836,0,18700,41,0.22
Ame wo Tsugeru Hyouryuu Danchi,49938,7.31,71714,269,0.38
Angel Beats!,6547,8.05,2117446,48974,2.31
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989,8.29,1640302,32671,1.99
Another,11111,7.47,1707401,17913,1.05
Ansatsu Kyoushitsu,24833,8.08,2084117,30276,1.45
Aoi Bungaku Series,7193,7.66,225588,1604,0.71
Araburu Kisetsu no Otome-domo yo.,38753,7.31,354531,1640,0.46
Aria the Origination,3297,8.48,133470,4197,3.14
Arknights: Reimei Zensou,50205,7.08,112319,1071,0.95
Arknights: Touin Kiro,53881,7.58,48144,299,0.62
Asobi Asobase,37171,8.19,500415,7008,1.4
Ayakashi: Japanese Classic Horror,586,7.37,80199,292,0.36
Azumanga Daiou The Animation,66,8.04,384026,8113,2.11
Baki,34443,7.31,445106,2720,0.61
Banana Fish,36649,8.46,898113,30878,3.44
Basilisk: Kouga Ninpou Chou,67,7.53,194486,1425,0.73
Beastars Final Season,49469,8.03,67561,158,0.23
Black Clover,34572,8.14,1746709,47977,2.75
Black Fox,37498,6.68,83049,145,0.17
Black★Rock Shooter (TV),11285,6.79,359308,2269,0.63
Bleach,269,7.96,2047467,76722,3.75
Blood Lad,11633,7.24,702866,2078,0.3
Blood-C,10490,6.53,384247,1248,0.32
Blood: The Last Vampire,405,6.87,115416,267,0.23
Blue Archive the Animation,54309,7.05,63938,1057,1.65
Blue Period,46352,7.8,488722,6360,1.3
BNA,40060,7.34,380753,2698,0.71
Bocchi the Rock! Movie,55357,8.22,60180,419,0.7
Bokura no,1690,7.59,195313,1196,0.61
Boogiepop wa Warawanai,369,7.15,142465,1197,0.84
Boogiepop wa Warawanai (2019),37451,7.06,234850,878,0.37
Boruto: Naruto Next Generations,34566,6.0,888261,7341,0.83
Break Blade,22433,7.24,97737,219,0.22
Break Blade Movie 1: Kakusei no Toki,6772,7.62,86051,161,0.19
Btooom!,14345,7.27,876248,3411,0.39
Bubble,50549,7.24,223447,1527,0.68
Bungou Stray Dogs,31478,7.81,1448412,27978,1.93
Byousoku 5 Centimeter,1689,7.56,967874,11096,1.15
Cardcaptor Sakura,232,8.17,450407,13936,3.09
Casshern Sins,4981,7.5,170367,1842,1.08
Chainsaw Man Movie: Reze-hen,57555,0,87099,315,0.36
Chuunibyou demo Koi ga Shitai!,14741,7.7,1393391,18225,1.31
Citrus,34382,6.43,531668,3966,0.75
Clannad,2167,7.99,1444517,27839,1.93
Clannad: After Story,4181,8.93,1222041,70977,5.81
Claymore,1818,7.73,689537,8538,1.24
D.Gray-man,1482,8.0,706339,13638,1.93
Dandadan,57334,8.7,475755,6338,1.33
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,16592,7.2,963812,8352,0.87
Dead Dead Demons Dededede Destruction,51358,7.51,28853,85,0.29
Dead Dead Demons Dededede Destruction (OVA),58883,7.93,42997,355,0.83
Dead Leaves,974,7.2,97054,677,0.7
Dorohedoro,38668,8.05,576746,9376,1.63
Dororo,37520,8.25,1278762,21624,1.69
Doukyuusei,30346,8.28,278808,6322,2.27
Dragon Ball GT,225,6.5,648100,2150,0.33
Dungeon Meshi 2nd Season,59068,0,63950,180,0.28
Durarara!!,6746,8.09,1437346,30030,2.09
Enen no Shouboutai,38671,7.71,1400151,9784,0.7
Eromanga-sensei,32901,6.33,738738,2743,0.37
Euphoria,10851,5.82,85342,758,0.89
Eve no Jikan,3167,7.99,189001,1254,0.66
Fate/Apocrypha,34662,7.19,490656,2621,0.53
Flip Flappers,32979,7.62,195921,2175,1.11
Fullmetal Alchemist,121,8.11,1500317,26142,1.74
Fumetsu no Anata e,41025,8.34,910532,14868,1.63
Fushigi no Umi no Nadia,1251,7.51,73201,556,0.76
Gake no Ue no Ponyo,2890,7.95,606405,4510,0.74
Gakkougurashi!,24765,7.61,464262,5589,1.2
Gintama°,28977,9.05,651009,16928,2.6
Girls Band Cry,55102,8.39,91317,1998,2.19
Goblin Slayer II,47160,7.2,371987,3163,0.85
God Eater,27631,7.18,557339,1947,0.35
Golden Boy,268,8.04,419311,6219,1.48
Golden Time,17895,7.74,1074459,13622,1.27
Gosick,8425,8.04,569089,8523,1.5
Grappler Baki (TV),287,7.45,153847,868,0.56
Great Pretender,40052,8.2,693553,10193,1.47
Great Teacher Onizuka,245,8.68,857320,27051,3.16
Guilty Crown,10793,7.4,1238337,16992,1.37
Gun x Sword,411,7.25,80401,360,0.45
Haibane Renmei,387,7.98,302195,8154,2.7
Hanma Baki: Son of Ogre,42940,7.65,175011,705,0.4
Hells,4983,6.86,35026,224,0.64
Hifuu Katsudou Kiroku: The Sealed Esoteric History,36686,7.34,8780,52,0.59
High School DxD,11617,7.32,1467119,22774,1.55
Highschool of the Dead,8074,7.07,1545565,10318,0.67
Higurashi no Naku Koro ni,934,7.87,823582,21385,2.6
Higurashi no Naku Koro ni Kai,1889,8.16,489549,7453,1.52
Hitoribocchi no Marumaru Seikatsu,37614,7.47,224740,1267,0.56
Holo no Graffiti,44042,8.17,56700,1905,3.36
Irozuku Sekai no Ashita kara,37497,7.51,345691,2252,0.65
Isekai Suicide Squad,55848,6.48,146149,565,0.39
Jibaku Shounen Hanako-kun,39534,7.83,618324,12088,1.95
Jigokuraku,46569,8.09,767932,8344,1.09
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,20899,8.11,1264740,22856,1.81
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,26055,8.44,1156436,21133,1.83
Jormungand,12413,7.79,376157,3143,0.84
Josee to Tora to Sakana-tachi,40787,8.38,458706,6472,1.41
