name,id,score,members,favorites,ratio
17-21: Fujimoto Tatsuki Tanpenshuu,141214,7.13,22309,126,0.56
20th Century Boys,3,8.93,296953,22222,7.48
21st Century Boys,743,8.43,105833,1051,0.99
22-26: Fujimoto Tatsuki Tanpenshuu,141294,7.31,28429,172,0.61
Ajin,49865,8.0,149880,4679,3.12
Aku no Hana,24705,8.2,176386,13067,7.41
Annarasumanara,30079,8.27,72527,2779,3.83
Asper Kanojo,118873,7.89,21507,544,2.53
Bakemonogatari,113010,8.48,43352,1849,4.27
Billy Bat,11054,8.56,81743,2989,3.66
Blame!,149,8.29,172802,9572,5.54
Chainsaw Man,116778,8.68,685135,86599,12.64
Claymore,583,8.28,217764,14071,6.46
D.Gray-man,24,8.28,167491,12673,7.57
Dandadan,135496,8.45,196722,10438,5.31
Dead Dead Demons Dededede Destruction,70801,8.19,84020,2616,3.11
Dr. Stone,103897,8.2,207701,10318,4.97
Dungeon Meshi,85781,8.78,104035,6881,6.61
Evangelion: ANIMA,25594,7.26,3937,51,1.3
Fire Punch,98270,7.93,208477,9285,4.45
Gakkougurashi!,55163,8.04,57986,3055,5.27
Gantz,564,8.08,251217,18889,7.52
Genjitsu Touhi shitetara Boroboro ni Natta Hanashi,122691,7.7,7642,59,0.77
Gokurakugai,147874,7.64,63113,1276,2.02
Hitori Koukan Nikki,107948,8.11,19949,308,1.54
Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,4453,8.2,8296,228,2.75
Homunculus,936,8.34,161192,8363,5.19
I Love Amy,174045,8.25,4129,206,4.99
Innocent,58563,8.19,67724,2224,3.28
Innocent Rouge,93699,8.39,34479,1015,2.94
Jigokuraku,112318,8.22,181429,7004,3.86
JoJo no Kimyou na Bouken Part 8: JoJolion,25515,8.47,166276,8726,5.25
Jujutsu Kaisen,113138,8.21,482721,33455,6.93
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",100448,8.77,185130,14741,7.96
Kore wa Yuganda Shokurepo desu,133773,7.01,2666,6,0.23
Madan no Ichi,173944,7.78,21909,244,1.11
Made in Abyss,91941,8.72,178101,10757,6.04
Mahou Shoujo of the End,40175,6.74,42161,701,1.66
Medaka Box,13949,7.78,69751,3051,4.37
Meisou Senshi Nagata Kabi,145004,7.48,4104,27,0.66
Mugen no Juunin,658,8.41,88883,3089,3.48
Murciélago,65705,7.61,26012,781,3.0
My Broken Mariko,123812,7.72,38410,1086,2.83
Niku wo Hagu: Tooda Oto Tanpenshuu,136655,7.55,5365,69,1.29
Okaeri Alice,125717,7.11,30166,526,1.74
Omniscient Reader's Viewpoint,132214,8.64,153577,8367,5.45
Otona ni Narenai Bokura wa,166632,7.18,4614,23,0.5
Otoyomegatari,11514,8.56,79263,2798,3.53
Planetes,481,8.23,61319,1844,3.01
Pumpkin Night,111403,6.37,45840,1044,2.28
Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,99969,8.12,56361,2857,5.07
Shadows House,115730,8.35,48166,1889,3.92
Shimanami Tasogare,97244,8.45,67870,3673,5.41
Shuumatsu Touring,130154,7.33,3804,29,0.76
Solanin,3731,8.21,130384,5856,4.49
SSS-Class Revival Hunter,146909,8.31,53104,1725,3.25
Steins;Gate: Onshuu no Brownian Motion,28899,7.99,5915,79,1.34
"Suizou ga Kowaretara, Sukoshi Ikiyasuku Narimashita.",155240,7.45,1935,9,0.47
Sun-Ken Rock,8848,7.89,119582,3718,3.11
Super no Ura de Yani Suu Futari,148467,8.11,54061,1469,2.72
The Fable,87844,8.56,61927,1981,3.2
Trigun,703,7.72,42786,928,2.17
Trigun Maximum,704,8.28,32861,1769,5.38
Umibe no Onnanoko,17353,7.19,90568,2194,2.42
Vagabond,656,9.27,436407,46948,10.76
Watashitachi no Shiawase na Jikan,11734,8.49,121521,4793,3.94
Yofukashi no Uta,121480,8.18,108999,5115,4.69
